date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:51	1514963/1514963	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-171dd3%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-22.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-22/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:54	362126/362126	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-5868e%22	http://calswec-archive.berkeley.edu/files/uploads/fr-2011-program_report.pdf	./calswec-archive.berkeley.edu/files/uploads/fr-2011-program_report/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:54	136202/136202	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-2140a%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_1.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_1/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:56	1386068/1386068	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-152654%22	http://calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-23.pdf	./calswec-archive.berkeley.edu/files/uploads/ive-ar-11-12-appen-23/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:02:58	1608611/1608611	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-188ba3%22	http://calswec-archive.berkeley.edu/files/uploads/fr-2011-statistical-report-rv.pdf	./calswec-archive.berkeley.edu/files/uploads/fr-2011-statistical-report-rv/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:02	1200605/1200605	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-1251dd%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_2-4_to_2-6.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_2-4_to_2-6/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:02	2029361/2029361	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-1ef731%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_2-1_to_2-3.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_2-1_to_2-3/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:10	3331841/3331841	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-32d701%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_2-7.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_2-7/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:12	216439/216439	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-34d77%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_2-9.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_2-9/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:22	760912/760912	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-b9c50%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_4.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_4/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:23	801119/801119	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-c395f%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_5.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_5/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:26	2102887/2102887	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-201667%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_3.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_3/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:26	5133361/5133361	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-4e5431%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_2-8.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_2-8/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:36	2622049/2622049	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-280261%22	http://calswec-archive.berkeley.edu/files/uploads/appendix_6-8.pdf	./calswec-archive.berkeley.edu/files/uploads/appendix_6-8/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:42	1830844/1830844	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-1befbc%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/title_ive_ar_2008_2009.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/title_ive_ar_2008_2009/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:50	2722034/2722034	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-2988f2%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar_0708_final.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar_0708_final/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:54	4192320/4192320	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-3ff840%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/ar_ive_cdss_0910.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/ar_ive_cdss_0910/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:03:56	2942972/2942972	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-2ce7fc%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar06_07_final.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar06_07_final/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:00	2731939/2731939	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-29afa3%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/05_06_ar.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/05_06_ar/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
